1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
2, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
3, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
4, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
5, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
6, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
7, minecraft:jungle_pyramid, MONSTER, dungeons_mobs:whisperer, 10, 1, 1
8, minecraft:jungle_pyramid, MONSTER, dungeons_mobs:leapleaf, 10, 1, 1
9, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
10, minecraft:desert_pyramid, MONSTER, dungeons_mobs:skeleton_vanguard, 10, 1, 5
11, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
12, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
13, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
14, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
15, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
16, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
17, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
18, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
19, minecraft:monument, HEADING, header:ignore, 0, 0, 0
20, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
21, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
22, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
23, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
24, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
25, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
26, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
27, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
28, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
29, minecraft:fortress, MONSTER, dungeons_mobs:wildfire, 10, 1, 1
30, minecraft:fortress, MONSTER, cataclysm:ignited_berserker, 10, 1, 1
31, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
32, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 1, 1
33, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
34, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
35, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
36, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
37, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
38, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
39, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
40, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
41, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
42, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
