1, none, minecraft:the_void, MONSTER, iter_rpg:air_elemental, 12, 1, 2
2, none, minecraft:the_void, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
3, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
4, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
5, none, minecraft:the_void, MONSTER, iter_rpg:scallop, 32, 1, 6
6, none, minecraft:the_void, MONSTER, iter_rpg:giant_spider, 10, 1, 1
7, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
8, none, minecraft:the_void, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
9, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
10, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
11, none, minecraft:the_void, MONSTER, iter_rpg:spiderling, 10, 3, 5
12, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
13, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
14, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
15, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide, 12, 1, 1
16, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
17, none, minecraft:the_void, MONSTER, born_in_chaos_v1:wither_scuttler, 15, 1, 1
18, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
19, none, minecraft:the_void, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
20, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
21, none, minecraft:the_void, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
22, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
23, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
24, none, minecraft:the_void, MONSTER, alexsmobs:farseer, 30, 1, 1
25, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
26, none, minecraft:the_void, MONSTER, iter_rpg:bloated, 10, 1, 1
27, none, minecraft:the_void, MONSTER, iter_rpg:void_elemental, 10, 1, 1
28, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
29, none, minecraft:the_void, MONSTER, iter_rpg:water_elemental, 16, 1, 2
30, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
31, none, minecraft:the_void, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
32, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
33, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
34, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
35, none, minecraft:the_void, AMBIENT, alexsmobs:fly, 10, 2, 3
36, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
37, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
38, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
39, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
40, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
41, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
42, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
43, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
44, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
45, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
46, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
47, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
48, plains, minecraft:plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
49, plains, minecraft:plains, MONSTER, iter_rpg:air_elemental, 12, 1, 2
50, plains, minecraft:plains, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
51, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
52, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
53, plains, minecraft:plains, MONSTER, graveyard:nightmare, 10, 1, 1
54, plains, minecraft:plains, MONSTER, iter_rpg:scallop, 32, 1, 6
55, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
56, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
57, plains, minecraft:plains, MONSTER, iter_rpg:giant_spider, 10, 1, 1
58, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
59, plains, minecraft:plains, MONSTER, born_in_chaos_v1:barrel_zombie, 16, 1, 1
60, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
61, plains, minecraft:plains, MONSTER, minecraft:illusioner, 10, 1, 1
62, plains, minecraft:plains, MONSTER, majruszsdifficulty:tank, 10, 1, 1
63, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
64, plains, minecraft:plains, MONSTER, iter_rpg:spiderling, 10, 3, 5
65, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
66, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
67, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
68, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide, 12, 1, 1
69, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
70, plains, minecraft:plains, MONSTER, born_in_chaos_v1:wither_scuttler, 15, 1, 1
71, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
72, plains, minecraft:plains, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
73, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
74, plains, minecraft:plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
75, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
76, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
77, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
78, plains, minecraft:plains, MONSTER, alexsmobs:farseer, 30, 1, 1
79, plains, minecraft:plains, MONSTER, alexsmobs:murmur, 10, 1, 1
80, plains, minecraft:plains, MONSTER, dungeons_mobs:necromancer, 10, 1, 1
81, plains, minecraft:plains, MONSTER, epicsamurai:enenra, 10, 1, 2
82, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
83, plains, minecraft:plains, MONSTER, iter_rpg:bloated, 10, 1, 1
84, plains, minecraft:plains, MONSTER, iter_rpg:void_elemental, 10, 1, 1
85, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
86, plains, minecraft:plains, MONSTER, iter_rpg:water_elemental, 16, 1, 2
87, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
88, plains, minecraft:plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
89, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
90, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
91, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
92, plains, minecraft:plains, MONSTER, minecraft:pig, 40, 1, 1
93, plains, minecraft:plains, MONSTER, dungeons_mobs:wraith, 20, 1, 1
94, plains, minecraft:plains, CREATURE, minecraft:sheep, 40, 8, 8
95, plains, minecraft:plains, CREATURE, minecraft:sheep, 40, 8, 8
96, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
97, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
98, plains, minecraft:plains, CREATURE, naturalist:snail, 10, 2, 3
99, plains, minecraft:plains, CREATURE, naturalist:snake, 10, 1, 1
100, plains, minecraft:plains, CREATURE, naturalist:robin, 10, 1, 4
101, plains, minecraft:plains, CREATURE, naturalist:butterfly, 10, 1, 3
102, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 10, 2, 3
103, plains, minecraft:plains, CREATURE, ecologics:squirrel, 10, 2, 3
104, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
105, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
106, plains, minecraft:plains, CREATURE, alexsmobs:bison, 10, 6, 10
107, plains, minecraft:plains, CREATURE, minecraft:sheep, 40, 4, 8
108, plains, minecraft:plains, CREATURE, minecraft:cow, 40, 4, 8
109, plains, minecraft:plains, CREATURE, minecraft:pig, 40, 4, 8
110, plains, minecraft:plains, CREATURE, minecraft:chicken, 40, 4, 8
111, plains, minecraft:plains, CREATURE, bunchobugs:ladybug, 20, 1, 1
112, plains, minecraft:plains, CREATURE, bunchobugs:weevil, 20, 1, 1
113, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
114, plains, minecraft:plains, AMBIENT, naturalist:firefly, 10, 2, 3
115, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
116, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
117, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
